model,gear,production,condition,price
1,0,1162,2,2926
1,1,639,2,5710
4,0,148,2,6800
0,0,60,1,1600
2,1,161,1,3540
0,1,182,0,7500
1,0,148,3,4300
0,0,989,1,2400
3,1,136,2,3000
1,1,188,2,4300
0,1,151,2,1600
1,1,1783,3,4300
4,0,338,3,7300
2,1,488,3,7200
0,0,794,2,2900
3,0,158,0,1050
2,0,728,2,6800
3,0,284,2,6790
0,1,443,3,2850
1,1,158,0,2100
2,1,1268,1,3700
2,1,1335,0,2900
5,0,812,3,1900
0,1,2114,0,1590
1,0,1692,3,3600
1,0,119,1,3120
3,0,166,2,800
4,1,183,2,5700
0,0,546,1,1000
1,1,1249,1,250
4,1,1197,0,190
0,0,188,0,750
1,1,923,1,3100
2,0,1631,1,284
1,1,333,3,70
5,1,596,1,365
2,0,359,2,85
4,1,1442,0,179
4,1,155,1,358
0,0,129,3,202
2,1,140,0,306
0,0,843,1,173
0,1,132,2,242
2,0,506,3,50
0,0,957,3,240
2,1,943,3,640
2,1,946,3,570
1,1,1384,1,284
2,1,1265,2,56
0,1,190,2,2000
0,0,1520,1,1250
2,1,231,2,184
1,0,145,0,1800
0,1,133,3,1613
1,1,186,0,32837
0,0,137,2,20268
1,0,615,0,21281
2,0,549,0,312
1,1,109,3,554
2,1,737,2,879
2,0,123,3,545
2,0,152,0,1928
0,1,209,1,246
1,0,319,3,534
2,1,154,1,375
0,0,119,0,1099
0,0,712,2,345
0,0,126,1,1113
2,1,320,0,363
0,1,159,1,1259
1,1,176,3,3760
0,0,361,2,3720
0,1,195,2,1709
1,0,213,1,333
2,0,175,3,400
0,0,198,3,141
1,0,1519,1,286
1,0,1487,2,564
0,1,1100,0,1146
0,0,637,2,203
2,1,316,0,363
3,0,756,1,1683
2,0,1061,1,419
5,0,122,0,215
1,0,964,0,2200
0,0,244,1,2152
3,0,197,0,177
1,1,133,0,256
3,0,373,1,329
3,1,150,1,242
1,1,158,0,1708
0,1,788,0,1473
2,0,197,0,632
1,1,177,1,3280
0,0,115,0,994
3,1,753,2,820
0,0,614,1,163
1,0,140,1,330
2,1,1028,1,371
4,0,110,0,1760
4,0,171,3,4270
0,0,146,1,1520
1,0,124,2,6200
4,1,260,2,6890
2,0,587,1,5590
3,1,179,1,2020
0,1,124,0,938
2,1,477,1,4600
2,1,126,3,6160
1,0,541,0,1986
1,1,160,1,308
2,0,149,3,693
0,1,852,3,1830
1,1,1143,2,474
2,0,100,0,2550
1,1,997,1,2930
0,0,106,0,1211
0,1,1032,2,249
2,1,435,1,551
3,0,798,1,3570
0,0,513,0,728
3,0,194,2,1999
0,1,991,2,4160
1,0,821,2,629
0,0,117,3,1803
0,0,115,2,2789
2,0,958,1,400
4,1,130,3,279
1,1,167,2,515
2,1,789,0,2720
3,0,808,3,5560
2,1,918,3,8290
0,1,130,3,24020
1,0,124,2,618
2,1,407,3,744
0,0,182,3,186
0,0,180,0,87
0,1,812,2,381
1,0,120,1,3120
0,1,836,3,2060
1,0,124,3,390
3,1,643,2,696
0,1,120,3,1603
2,0,185,3,50
1,1,126,0,216
0,0,417,1,148
0,1,158,3,178
2,0,266,1,400
2,1,816,3,703
1,0,895,2,665
4,1,310,2,346
1,0,177,1,299
3,1,143,0,2250
0,1,151,1,1630
3,0,377,3,643
1,0,158,2,379
1,0,154,2,540
1,1,590,0,261
0,0,1791,0,79
2,1,1926,1,316
0,0,487,2,207
0,1,816,1,1380
2,0,109,1,407
1,1,130,0,195
0,1,163,1,119
1,0,155,3,446
1,1,380,3,685
0,1,401,1,206
0,0,169,2,2800
2,0,300,0,320
2,0,462,2,800
1,0,199,1,288
2,0,122,1,397
2,0,19,0,2530
1,1,855,2,580
0,1,997,0,811
1,0,665,0,247
1,1,389,1,456
2,0,189,3,519
1,0,198,0,166
2,1,160,0,320
1,0,160,0,285
1,0,163,3,420
2,1,242,2,854
1,0,136,2,574
1,1,113,0,1960
2,0,959,1,451
1,0,731,2,666
1,1,950,3,588
0,1,402,3,299
0,1,128,0,1450
2,0,104,2,646
0,0,307,2,208
1,1,939,2,687
0,0,116,1,1505
1,0,153,0,155
1,0,1015,0,194
0,1,160,1,990
0,0,1060,1,150
2,0,170,1,328
0,0,170,0,700
1,0,561,3,500
2,1,716,0,270
0,1,157,1,107
2,0,178,3,460
2,0,263,2,750
2,1,413,3,610
3,1,1697,3,1440
3,1,230,1,1650
3,1,451,1,498
2,0,118,2,670
1,0,443,3,500
1,1,752,1,380
2,1,272,2,960
4,0,1451,2,680
0,1,439,2,3130
1,0,561,3,690
4,1,1140,1,1600
0,0,194,2,1450
1,0,181,0,163
4,1,159,0,20200
2,1,183,1,3410
2,0,128,0,2660
1,0,996,2,630
2,0,462,1,4780
1,1,1091,2,4620
2,0,827,2,690
4,1,179,0,2980
1,1,188,0,1660
1,0,444,2,740
4,1,117,0,2000
2,0,1721,1,3550
0,1,149,3,1530
1,0,102,1,340
2,0,127,1,3900
2,1,1327,0,2200
2,0,1371,3,640
1,0,246,0,2360
4,0,1246,2,258
2,1,396,2,900
0,0,332,2,302
1,1,389,3,690
2,1,513,2,760
2,1,1258,0,2290
1,0,130,0,2300
0,0,434,2,252
4,0,312,0,287
2,1,875,2,730
1,1,1022,0,183
1,0,136,1,312
3,1,83,2,365
1,0,102,1,352
